depth,Total Pollen and Spores,Control,Acer,Quercus,Lithocarpus,Juglans,RRA,Hedyosmum,Abies,Erodium cicutarium,Eucalyptus,Salix,Myrica,Corylus,Alnus,Artemisia,Ambrosia,Liguliflorae,COMPOSITAE,CRUCIFERAE,TCT,Eriogonum spp.,Rumex spp.,Rumex acetosella,POLEMONIACEAE,Sequoia,RANUNCULACEAE,UMBELLIFERAE,Toxicodendron diversiloba,Plantago maritima,Plantago lanceolata,GRAMINEAE,Zea,CHENOPODIACEAE,Pseudostuga,Typha latifolia,Typha/ Sparganium,CYPERACEAE,Myriophyllum,Potamogeton,Triglochin,Isoetes,Dryopteris,Polypodium,Pteridium,Trilete Spore,Monolete Spore,EUPHORBIACEAE / RUTACEAE /,Pediastrum,Indeterminate,Unknown,
100.0,496.0,304.0,2.000,43.00,0,0,9.000,0,0,2.000,1.000,5.000,2.000,0,37.00,10.00,0,3.000,8.000,0,15.00,0,1.000,7.000,1.000,53.00,1.000,0,3.000,0,4.000,48.00,0,21.00,3.000,3.000,1.000,35.00,0,0,0,0,4.000,0,0,11.00,46.00,0,0,53.00,1.000,
115.0,482.0,194.0,5.000,19.00,3.000,0,11.00,0,0,1.000,0,10.00,1.000,0,30.00,5.000,1.000,2.000,15.00,0,12.00,1.000,0,3.000,0,56.00,2.000,1.000,3.000,0,2.000,13.00,0,24.00,6.000,0,0,42.00,0,0,0,0,7.000,1.000,0,9.000,70.00,0,0,62.00,0,
120.0,408.0,264.0,0,35.00,0,0,7.000,0,0,0,0,1.000,1.000,0,38.00,12.00,2.000,1.000,24.00,0,19.00,0,3.000,1.000,0,29.00,1.000,2.000,2.000,0,0,24.00,0,26.00,5.000,0,1.000,32.00,1.000,0,0,0,9.000,0,0,12.00,37.00,0,2.000,47.00,0,
127.0,326.0,191.0,0,29.00,0,0,10.00,0,0,0,0,8.000,1.000,0,27.00,12.00,1.000,0,8.000,2.000,8.000,1.000,1.000,2.000,0,29.00,1.000,0,2.000,0,0,20.00,2.000,30.00,7.000,0,1.000,25.00,0,0,1.000,0,3.000,0,0,6.000,29.00,0,0,31.00,0,
130.0,401.0,302.0,1.000,29.00,0,0,7.000,0,0,0,0,5.000,1.000,0,17.00,0,1.000,0,17.00,0,21.00,0,1.000,6.000,0,53.00,1.000,0,0,0,0,30.00,0,25.00,8.000,0,6.000,29.00,3.000,0,0,0,6.000,0,0,13.00,40.00,0,0,27.00,0,
133.0,238.0,138.0,0,15.00,0,0,2.000,0,0,1.000,0,6.000,0,0,14.00,4.000,2.000,1.000,9.000,0,11.00,0,1.000,3.000,0,31.00,0,0,0,0,0,5.000,2.000,10.00,6.000,0,0,15.00,4.000,0,0,0,4.000,2.000,0,6.000,26.00,0,0,22.00,0,
137.0,379.0,141.0,2.000,29.00,2.000,0,9.000,0,0,0,0,5.000,0,0,28.00,9.000,0,3.000,5.000,0,11.00,1.000,1.000,3.000,0,45.00,0,0,2.000,1.000,0,24.00,0,31.00,9.000,1.000,0,24.00,0,0,0,0,7.000,0,0,5.000,36.00,0,0,42.00,0,
140.0,507.0,282.0,1.000,38.00,0,0,7.000,0,0,0,0,12.00,2.000,0,40.00,4.000,1.000,1.000,7.000,0,16.00,0,0,1.000,0,77.00,0,0,0,0,0,25.00,0,48.00,10.00,4.000,1.000,35.00,0,0,0,0,3.000,0,0,2.000,38.00,0,0,52.00,0,
142.0,335.0,197.0,4.000,23.00,2.000,0,10.00,0,0,0,0,8.000,2.000,0,19.00,4.000,0,0,8.000,0,8.000,3.000,1.000,0,0,45.00,1.000,1.000,5.000,0,0,17.00,1.000,30.00,7.000,1.000,0,20.00,0,0,0,0,7.000,1.000,0,1.000,27.00,0,0,35.00,0,
145.0,430.0,202.0,3.000,30.00,2.000,0,2.000,1.000,0,0,0,6.000,0,0,18.00,10.00,0,0,11.00,0,20.00,0,0,0,0,77.00,0,0,2.000,0,0,15.00,0,48.00,5.000,2.000,3.000,26.00,0,0,0,0,5.000,0,0,6.000,38.00,0,0,45.00,0,
150.0,409.0,160.0,3.000,24.00,0,0,7.000,0,0,0,0,2.000,3.000,0,35.00,6.000,1.000,2.000,12.00,0,12.00,0,0,0,1.000,63.00,0,0,2.000,0,0,13.00,0,36.00,4.000,0,0,26.00,0,0,0,0,5.000,0,0,4.000,45.00,0,0,48.00,0,
160.0,449.0,210.0,2.000,43.00,0,0,1.000,0,0,0,0,7.000,1.000,0,29.00,6.000,0,0,27.00,0,15.00,0,0,0,0,54.00,0,1.000,0,0,0,18.00,0,65.00,2.000,0,0,35.00,1.000,0,1.000,0,3.000,0,0,6.000,29.00,0,0,43.00,0,
170.0,418.0,131.0,6.000,30.00,0,0,6.000,0,0,0,0,3.000,1.000,0,42.00,3.000,0,0,12.00,0,17.00,0,0,0,0,80.00,0,2.000,1.000,0,0,20.00,0,39.00,7.000,1.000,1.000,22.00,0,0,0,0,5.000,2.000,0,4.000,28.00,0,0,18.00,0,
